T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,2005,Current health expenditure (% of GDP),9.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
4,Afghanistan,2010,Current health expenditure (% of GDP),8.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
4,Afghanistan,2015,Current health expenditure (% of GDP),10.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
4,Afghanistan,2020,Current health expenditure (% of GDP),15.5,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
4,Afghanistan,2021,Current health expenditure (% of GDP),21.5,Break in the time series.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
4,Afghanistan,2022,Current health expenditure (% of GDP),23.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
4,Afghanistan,2005,Domestic general government health expenditure (% of total government expenditure),3.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
4,Afghanistan,2010,Domestic general government health expenditure (% of total government expenditure),2.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
4,Afghanistan,2015,Domestic general government health expenditure (% of total government expenditure),2.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
4,Afghanistan,2020,Domestic general government health expenditure (% of total government expenditure),4.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
4,Afghanistan,2021,Domestic general government health expenditure (% of total government expenditure),4.0,Break in the time series.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
4,Afghanistan,2022,Domestic general government health expenditure (% of total government expenditure),1.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2005,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2010,Current health expenditure (% of GDP),6.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2015,Current health expenditure (% of GDP),6.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2020,Current health expenditure (% of GDP),7.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2021,Current health expenditure (% of GDP),7.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2022,Current health expenditure (% of GDP),6.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2005,Domestic general government health expenditure (% of total government expenditure),9.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2010,Domestic general government health expenditure (% of total government expenditure),8.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2015,Domestic general government health expenditure (% of total government expenditure),8.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2020,Domestic general government health expenditure (% of total government expenditure),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2021,Domestic general government health expenditure (% of total government expenditure),9.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
8,Albania,2022,Domestic general government health expenditure (% of total government expenditure),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2005,Current health expenditure (% of GDP),3.1,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2010,Current health expenditure (% of GDP),4.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2015,Current health expenditure (% of GDP),6.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2020,Current health expenditure (% of GDP),5.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2021,Current health expenditure (% of GDP),5.0,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2022,Current health expenditure (% of GDP),3.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2005,Domestic general government health expenditure (% of total government expenditure),7.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2010,Domestic general government health expenditure (% of total government expenditure),9.2,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2015,Domestic general government health expenditure (% of total government expenditure),10.6,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2020,Domestic general government health expenditure (% of total government expenditure),8.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2021,Domestic general government health expenditure (% of total government expenditure),8.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
12,Algeria,2022,Domestic general government health expenditure (% of total government expenditure),5.4,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
20,Andorra,2005,Current health expenditure (% of GDP),5.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
20,Andorra,2010,Current health expenditure (% of GDP),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
